"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"FRA","UNEMP","TOT","PC_LF","Q","2014-Q1",10.16015,
"FRA","UNEMP","TOT","PC_LF","Q","2014-Q2",10.19508,
"FRA","UNEMP","TOT","PC_LF","Q","2014-Q3",10.3212,
"FRA","UNEMP","TOT","PC_LF","Q","2014-Q4",10.49162,
"FRA","UNEMP","TOT","PC_LF","Q","2015-Q1",10.30958,
"FRA","UNEMP","TOT","PC_LF","Q","2015-Q2",10.47567,
"FRA","UNEMP","TOT","PC_LF","Q","2015-Q3",10.36847,
"FRA","UNEMP","TOT","PC_LF","Q","2015-Q4",10.26268,
"FRA","UNEMP","TOT","PC_LF","Q","2016-Q1",10.22336,
"FRA","UNEMP","TOT","PC_LF","Q","2016-Q2",9.993421,
"FRA","UNEMP","TOT","PC_LF","Q","2016-Q3",9.893699,
"FRA","UNEMP","TOT","PC_LF","Q","2016-Q4",10.0449,
"FRA","UNEMP","TOT","PC_LF","Q","2017-Q1",9.587766,
"FRA","UNEMP","TOT","PC_LF","Q","2017-Q2",9.471877,
"FRA","UNEMP","TOT","PC_LF","Q","2017-Q3",9.532904,
"FRA","UNEMP","TOT","PC_LF","Q","2017-Q4",9.029145,
"FRA","UNEMP","TOT","PC_LF","Q","2018-Q1",9.193041,
"FRA","UNEMP","TOT","PC_LF","Q","2018-Q2",9.064717,
"FRA","UNEMP","TOT","PC_LF","Q","2018-Q3",9.023359,
"FRA","UNEMP","TOT","PC_LF","Q","2018-Q4",8.785224,
"FRA","UNEMP","TOT","PC_LF","Q","2019-Q1",8.685062,
"FRA","UNEMP","TOT","PC_LF","Q","2019-Q2",8.435822,
"FRA","UNEMP","TOT","PC_LF","Q","2019-Q3",8.480968,
"FRA","UNEMP","TOT","PC_LF","Q","2019-Q4",8.17254,
